Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
261,0,0.020734,-0.127257,-1.806567,262.988556,-508.152313,180.77356
262,0,0.020864,-0.126775,-1.806697,262.979614,-508.147369,180.783127
263,0,0.021247,-0.127488,-1.806575,262.97522,-508.147247,180.784164
264,0,0.021127,-0.12733,-1.806797,262.959808,-508.14502,180.784454
265,0,0.021122,-0.127258,-1.80714,262.946747,-508.1362,180.782516
266,0,0.020836,-0.127503,-1.806766,262.9422,-508.121429,180.785004
267,0,0.02103,-0.127591,-1.806699,262.940125,-508.112732,180.781876
268,0,0.020789,-0.127965,-1.806455,262.957947,-508.090668,180.793106
269,0,0.020273,-0.127713,-1.806732,262.953522,-508.074951,180.795273
270,0,0.020336,-0.128343,-1.806722,262.963379,-508.055206,180.802826
271,0,0.019966,-0.128423,-1.807187,262.9664,-508.04126,180.791504
272,0,0.019645,-0.128672,-1.806383,262.978546,-508.025818,180.79599
273,0,0.019713,-0.129226,-1.806405,262.997528,-507.997559,180.809998
274,0,0.019154,-0.128927,-1.806576,263.014343,-507.967346,180.811859
275,0,0.019183,-0.129024,-1.807026,263.041107,-507.937683,180.81131
276,0,0.018921,-0.129129,-1.807278,263.045807,-507.914124,180.810104
277,0,0.017952,-0.129299,-1.806763,263.07077,-507.894531,180.818878
278,0,0.017541,-0.129454,-1.806947,263.078369,-507.878235,180.810226
279,0,0.017391,-0.129844,-1.807024,263.093994,-507.858978,180.811447
280,0,0.016671,-0.12987,-1.807249,263.110107,-507.837006,180.807877
281,0,0.016277,-0.129747,-1.806824,263.13678,-507.811249,180.815125
282,0,0.015661,-0.129771,-1.807031,263.152252,-507.796539,180.823959
283,0,0.015478,-0.129673,-1.807267,263.170807,-507.783478,180.824158
284,0,0.015385,-0.12987,-1.807246,263.186493,-507.776031,180.821533
285,0,0.014907,-0.129665,-1.807093,263.191681,-507.771667,180.81163
286,0,0.014381,-0.129669,-1.806771,263.215424,-507.767365,180.815308
287,0,0.014122,-0.129416,-1.806956,263.228912,-507.761963,180.811813
288,0,0.014008,-0.129416,-1.807216,263.243988,-507.759155,180.814301
289,0,0.014327,-0.129398,-1.807269,263.267456,-507.755585,180.817429
290,0,0.013906,-0.129199,-1.807204,263.260986,-507.768341,180.811951
291,0,0.013721,-0.12922,-1.806681,263.271118,-507.774719,180.814484
292,0,0.01377,-0.128913,-1.806766,263.264313,-507.794312,180.807251
293,0,0.013738,-0.128722,-1.807066,263.262299,-507.805939,180.806778
294,0,0.014079,-0.128715,-1.806533,263.269836,-507.820068,180.801468
295,0,0.01449,-0.128204,-1.807244,263.26123,-507.831207,180.799652
